pl_name,hostname,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,ra,dec,sy_vmag,EscVal,ESI,lmin,lmax,SType,TType,Show
Kepler-87 b,Kepler-87,2,114.73635,0.481,13.49,324.2,0.729,0.036,,478,,5600,1.82,1.1,-0.17,0.465784734,297.9168433,46.9651146,14.681,4.902307289,0.254971913,2.855017917,1.692495652,J,H,1
Kepler-87 c,Kepler-87,2,191.2318,0.676,6.14,6.4,0.152,0.039,,403,,5600,1.82,1.1,-0.17,0.465784734,297.9168433,46.9651146,14.681,1.020953122,0.266855198,2.855017917,1.692495652,J,H,1
Kepler-968 b,Kepler-968,3,3.69298373,,2,,,,,745,,4598,0.7,0.76,0.13,-0.706638202,285.6025889,50.1120401,14.626,,,0.740282307,0.438849991,S,H,1
Kepler-968 c,Kepler-968,3,5.70940492,,1.69,,,,,644,,4598,0.7,0.76,0.13,-0.706638202,285.6025889,50.1120401,14.626,,,0.740282307,0.438849991,E,H,1
LP 791-18 b,LP 791-18,3,0.9479981,0.00978,1.212,,,,24.14,564,M(6.1 +/- 0.7) V,2960,0.18,0.14,-0.09,-2.638,165.6904843,-16.4064445,16.91,,,0.080115486,0.047493611,E,H,1
LP 791-18 c,LP 791-18,3,4.9899093,0.02961,2.438,7.1,2.701128451,8.00E-05,2.64,324,M(6.1 +/- 0.7) V,2960,0.18,0.14,-0.09,-2.638,165.6904843,-16.4064445,16.91,1.706523699,0.657542519,0.080115486,0.047493611,S,W,1
LP 791-18 d,LP 791-18,3,2.753436,0.01992,1.032,0.9,4.514310323,0.0015,5.83,396,M(6.1 +/- 0.7) V,2960,0.18,0.14,-0.09,-2.638,165.6904843,-16.4064445,16.91,0.93385921,0.685961266,0.080115486,0.047493611,E,W,1
LP 890-9 b,LP 890-9,2,2.7299025,0.01875,1.32,13.2,31.6402663,,4.09,396,M6 V,2850,0.16,0.12,-0.028,-2.841,64.1309096,-28.3157909,18,3.16227766,0.442689869,0.063418574,0.037595442,E,W,1
LP 890-9 c,LP 890-9,2,8.457463,0.03984,1.367,25.3,54.60129837,,0.91,272,M6 V,2850,0.16,0.12,-0.028,-2.841,64.1309096,-28.3157909,18,4.302055445,0.499552191,0.063418574,0.037595442,E,W,1
TOI-1052 b,TOI-1052,2,9.139703,0.09103,2.87,16.9,3.93,0.18,246,1135,,6146,1.26,1.2,0.14,0.308001164,337.5102738,-75.6465606,9.511,2.426623527,0.194744388,2.380767871,1.411353409,S,H,1
TOI-1052 c,TOI-1052,2,35.806,0.2263,,34.3,,0.237,39.7,719,,6146,1.26,1.2,0.14,0.308001164,337.5102738,-75.6465606,9.511,,,2.380767871,1.411353409,N,H,1
TOI-1231 b,TOI-1231,1,24.245586,0.1288,3.65,15.4,1.74,0.087,1.93,330,M3 V,3553,0.48,0.48,0.041,-1.487,156.74726,-52.4678724,12.36,2.054063797,0.558693014,0.301450821,0.178704379,N,W,1
TOI-125 b,TOI-125,3,4.65382,0.05186,2.726,9.5,2.57,0.194,185,1037,K0 V,5320,0.85,0.86,-0.02,-0.285,23.5934253,-66.6763495,11.023,1.866804662,0.208154789,1.202863845,0.713074974,S,H,1
TOI-125 c,TOI-125,3,9.15059,0.0814,2.759,6.63,1.73,0.066,77.59,828,K0 V,5320,0.85,0.86,-0.02,-0.285,23.5934253,-66.6763495,11.023,1.550175661,0.251424625,1.202863845,0.713074974,S,H,1
TOI-125 d,TOI-125,3,19.98,0.137,2.93,13.6,2.98,0.168,26.7,638,K0 V,5320,0.85,0.86,-0.02,-0.285,23.5934253,-66.6763495,11.023,2.154446153,0.34917382,1.202863845,0.713074974,S,H,1
TOI-1386 b,TOI-1386,2,25.8401,0.173,6.216,45.8,1.04,0,,615,,5735,1.02,1.04,0.149,0.01,334.5041029,54.3190454,10.61,2.714421185,0.261008141,1.689337689,1.00146366,J,H,1
TOI-1386 c,TOI-1386,2,232,0.75,,75.2,,0.38,,,,5735,1.02,1.04,0.149,0.01,334.5041029,54.3190454,10.61,,,1.689337689,1.00146366,J,H,1
TOI-1422 b,TOI-1422,1,12.9972,0.108,3.96,9,0.795,0.04,,867,G2 V,5840,1.02,0.98,-0.09,0.048,354.240829,39.6392793,10.622,1.507556723,0.194457665,1.76488524,1.046249334,N,H,1
TOI-1468 b,TOI-1468,2,1.8805136,,1.28,3.21,8.438458443,,36,682,M3.0 V,3496,0.34,0.34,-0.04,-1.797,16.6538724,19.2249195,12.5,1.583607432,0.377204095,0.210967944,0.125064829,E,H,1
TOI-1468 c,TOI-1468,2,15.532482,,2.064,6.64,4.163197298,,2.15,338,M3.0 V,3496,0.34,0.34,-0.04,-1.797,16.6538724,19.2249195,12.5,1.793614859,0.69087116,0.210967944,0.125064829,S,W,1
TOI-1470 b,TOI-1470,2,2.527093,0.0285,2.18,7.32,3.86,0.3,46.3,734,M1.5 V,3709,0.47,0.47,0,-1.425,10.0891431,61.2133868,13.459,1.83242958,0.331951763,0.32375499,0.191926611,S,H,1
TOI-1470 c,TOI-1470,2,18.08816,0.106,2.47,7.24,2.66,0.5,3.35,373,M1.5 V,3709,0.47,0.47,0,-1.425,10.0891431,61.2133868,13.459,1.712067198,0.584491902,0.32375499,0.191926611,S,W,1
TOI-1518 b,TOI-1518,1,1.902603,0.0389,21.017,731.00534,0.434106581,0.01,,2492,F0,7300,1.95,1.79,-0.1,0.986250513,352.2675207,67.0348062,8.952,5.897594556,0.03264151,5.198065261,3.08148779,J,H,1
TOI-1749 b,TOI-1749,3,2.38839,0.0291,1.39,57,117.008779,0.14,,831,M0 V,3985,0.55,0.58,-0.26,-1.164671468,282.7372281,64.419466,13.86,6.403685989,0.141850042,0.436898685,0.258999819,E,H,1
TOI-1749 c,TOI-1749,3,4.4929,0.0443,2.12,14,8.100436938,0.019,,673,M0 V,3985,0.55,0.58,-0.26,-1.164671468,282.7372281,64.419466,13.86,2.569780844,0.347767602,0.436898685,0.258999819,S,H,1
TOI-1749 d,TOI-1749,3,9.0497,0.0707,2.52,15,5.167466016,0.062,,533,M0 V,3985,0.55,0.58,-0.26,-1.164671468,282.7372281,64.419466,13.86,2.439750182,0.453302609,0.436898685,0.258999819,S,H,1
TOI-1776 b,TOI-1776,1,2.799868,0.0378,1.216,1.4,4.13,0,,1269,,5785,0.94,0.92,-0.193,-0.053,164.7772913,40.9837182,8.26,1.072993844,0.204051812,1.571145736,0.931397772,E,H,1
TOI-2010 b,TOI-2010,1,141.834025,0.5516,11.814,408.72733,1.36,0.212,4.09,400,F0,5929,1.08,1.11,0.168,0.114,292.1669417,53.4873694,9.849,5.881909741,0.340288442,1.904217145,1.12884729,J,W,1
TOI-2088 b,TOI-2088,1,124.72997,0.472,3.683,37,2,0,,300,,5081,0.85,0.9,0.339,-0.362,261.3748943,75.8822796,11.638,3.169567482,0.584862876,1.100820405,0.652582156,N,W,1
TOI-2095 b,TOI-2095,2,17.66484,0.101,1.25,4.1,11.5728896,0,3.43,347,M2.5 V,3759,0.44,0.44,-0.24,-1.459,285.6365235,75.4185135,13.19,1.811077028,0.653849551,0.311326774,0.184558986,E,W,1
TOI-2095 c,TOI-2095,2,28.17232,0.137,1.33,7.4,17.34062671,0,1.84,297,M2.5 V,3759,0.44,0.44,-0.24,-1.459,285.6365235,75.4185135,13.19,2.358794136,0.658458501,0.311326774,0.184558986,E,W,1
TOI-2120 b,TOI-2120,1,5.7998164,0.0377,2.122,6.8,20.6,0.32,3.61,384,,3131,0.24,0.21,0.39,-2.287,23.507315,65.5139877,15.648,1.790118441,0.513287512,0.120009733,0.071143495,S,W,1
TOI-2134 b,TOI-2134,2,9.2292005,0.078,2.69,9.13,2.607,0.06,32,666,K5 V,4580,0.71,0.74,0.12,-0.717,271.9355015,39.0729269,8.933,1.84229532,0.335613081,0.731503606,0.43364585,S,H,1
TOI-2134 c,TOI-2134,2,95.5,0.371,7.27,41.89,0.599,0.67,1.4,306,K5 V,4580,0.71,0.74,0.12,-0.717,271.9355015,39.0729269,8.933,2.40042408,0.421458248,0.731503606,0.43364585,J,W,1
TOI-2136 b,TOI-2136,1,7.851928,0.057,2.19,6.37,3.34,0,4,395,M4.5 V,3342,0.34,0.34,0.03,-1.886,281.1763433,36.5631318,14.32,1.705484037,0.586774522,0.190421715,0.112884729,S,W,1
TOI-2180 b,TOI-2180,1,260.79,0.828,11.321,875.61726,3.32,0.3683,2.71,348,G5,5695,1.64,1.11,0.253,0.406,277.94363,56.6506789,9.162,8.794573071,0.428648457,2.665118176,1.579920356,J,W,1
TOI-2196 b,TOI-2196,1,1.1947268,0.02234,3.51,26,3.31,0,2000,1860,G V,5634,1.04,1.03,0.14,-0.004,312.3400744,-70.4850723,12.297,2.72165527,0.101708588,1.662327047,0.985451363,N,H,1
TOI-2374 b,TOI-2374,1,4.31361,0.0471,6.81,56.64,0.98,0.13,,885,,4802,0.69,0.75,0.15,-0.643723346,319.4982407,-22.0498228,12.095,2.883952256,0.173292116,0.795893208,0.471816931,J,H,1
TOI-270 b,TOI-270,3,3.3601538,0.03197,1.206,1.58,4.97,0.034,,581,M,3506,0.38,0.39,-0.2,-1.712,68.4160804,-51.9573937,12.603,1.144603026,0.481982346,0.232657186,0.137922523,E,H,1
TOI-270 c,TOI-270,3,5.6605731,0.04526,2.355,6.15,2.6,0.027,,488,M,3506,0.38,0.39,-0.2,-1.712,68.4160804,-51.9573937,12.603,1.616002775,0.46551642,0.232657186,0.137922523,S,H,1
TOI-270 d,TOI-270,3,11.379573,0.0721,2.133,4.78,2.72,0.032,,387,M,3506,0.38,0.39,-0.2,-1.712,68.4160804,-51.9573937,12.603,1.496988695,0.585820692,0.232657186,0.137922523,S,W,1
TOI-3785 b,TOI-3785,1,4.6747373,0.043,5.14,14.95,0.61,0.11,19.1,582,M2 V,3576,0.5,0.52,0.099,-1.435,130.9002258,63.0780768,14.595,1.705450178,0.26306787,0.320048997,0.189729645,N,H,1
TOI-4010 b,TOI-4010,4,1.348335,0.0229,3.02,11,2.2,0.03,714,1441,K V,4960,0.83,0.88,0.37,-0.427027259,20.2148196,66.0722009,12.291,1.908503106,0.136500842,1.021416435,0.605510342,S,H,1
TOI-4010 c,TOI-4010,4,5.414654,0.058,5.93,20.31,0.5,0.03,112,907,K V,4960,0.83,0.88,0.37,-0.427027259,20.2148196,66.0722009,12.291,1.850664162,0.154471345,1.021416435,0.605510342,N,H,1
TOI-4010 d,TOI-4010,4,14.70886,0.113,6.18,38.15,0.9,0.07,30,650,K V,4960,0.83,0.88,0.37,-0.427027259,20.2148196,66.0722009,12.291,2.484580278,0.241899571,1.021416435,0.605510342,J,H,1
TOI-4010 e,TOI-4010,4,762,1.57,,692,,0.26,0.15,174,K V,4960,0.83,0.88,0.37,-0.427027259,20.2148196,66.0722009,12.291,,,1.021416435,0.605510342,J,C,1
TOI-431 b,TOI-431,3,0.490047,0.0113,1.28,3.07,8,0,,1862,,4850,0.73,0.78,0.2,-0.577497475,83.2692502,-26.7238698,9.12,1.548688962,0.122325323,0.858949702,0.509197728,E,H,1
TOI-431 c,TOI-431,3,4.8494,0.052,,2.83,,0,,867,,4850,0.73,0.78,0.2,-0.577497475,83.2692502,-26.7238698,9.12,,,0.858949702,0.509197728,E,H,1
TOI-431 d,TOI-431,3,12.46103,0.098,3.29,9.9,1.36,0,,633,,4850,0.73,0.78,0.2,-0.577497475,83.2692502,-26.7238698,9.12,1.734681106,0.305722943,0.858949702,0.509197728,S,H,1
TOI-4562 b,TOI-4562,1,225.11781,0.768,12.53,732,2.06,0.76,,318,F7 V,6096,1.15,1.19,0.08,0.214465364,112.0100593,-63.5177788,12.14,7.643284143,0.425758987,2.137711793,1.267266273,J,W,1
TOI-4600 b,TOI-4600,2,82.6869,0.349,6.8,959.84179,16.82910069,0.25,,347,K V,5170,0.81,0.89,0.16,-0.377,258.4503674,64.5661727,12.577,11.88079141,0.390564736,1.081973119,0.641409214,J,W,1
TOI-4600 c,TOI-4600,2,482.8191,1.152,9.42,2946.26933,19.43156273,0.21,,191,K V,5170,0.81,0.89,0.16,-0.377,258.4503674,64.5661727,12.577,17.68523239,0.346202866,1.081973119,0.641409214,J,C,1
TOI-663 b,TOI-663,3,2.598902,0.0295,2.27,4.45,2.07,,49.1,674,M1 V,3681,0.51,0.51,0.07,-1.368106528,160.0658525,-8.5110827,13.667,1.40012586,0.332722062,0.345671208,0.20491886,S,H,1
TOI-663 c,TOI-663,3,4.6955507,0.0437,2.26,3.65,1.73,,22.3,553,M1 V,3681,0.51,0.51,0.07,-1.368106528,160.0658525,-8.5110827,13.667,1.270843912,0.394009733,0.345671208,0.20491886,S,H,1
TOI-663 d,TOI-663,3,7.1027268,0.0576,1.92,5.2,4,,12.9,482,M1 V,3681,0.51,0.51,0.07,-1.368106528,160.0658525,-8.5110827,13.667,1.645701472,0.515389079,0.345671208,0.20491886,S,H,1
TOI-782 b,TOI-782,1,8.0240015,0.0578,2.734,19.1,7.99,0.19,5.91,435,,3370,0.41,0.4,0.34,-1.702,183.9203614,-18.9103377,14.83,2.643123333,0.511807782,0.235351229,0.139519591,S,H,1
TOI-836 b,TOI-836,2,3.81673,0.0422,1.704,4.53,5.02,0.053,78.84,871,K V,4552,0.67,0.68,-0.284,-0.762151531,225.0798831,-24.4542022,9.92,1.630475607,0.298610791,0.694449558,0.411679678,E,H,1
TOI-836 c,TOI-836,2,8.59545,0.075,2.587,9.6,3.06,0.078,26.71,665,K V,4552,0.67,0.68,-0.284,-0.762151531,225.0798831,-24.4542022,9.92,1.92635978,0.345413894,0.694449558,0.411679678,S,H,1
Teegarden's Star b,Teegarden's Star,3,4.90634,0.0259,,1.16,,0.03,1.08,277,,3034,0.12,0.1,-0.11,-3.141,43.2691449,16.8649024,15.13,,,0.044896912,0.026615535,E,W,1
Teegarden's Star c,Teegarden's Star,3,11.416,0.0455,,1.05,,0.04,0.35,209,,3034,0.12,0.1,-0.11,-3.141,43.2691449,16.8649024,15.13,,,0.044896912,0.026615535,E,W,1
Teegarden's Star d,Teegarden's Star,3,26.13,0.0791,,0.82,,0.07,0.12,159,,3034,0.12,0.1,-0.11,-3.141,43.2691449,16.8649024,15.13,,,0.044896912,0.026615535,R,C,1
WASP-153 b,WASP-153,1,3.332609,0.048,17.374,123.9537,0.15,0.009,1400,1700,G0,5914,1.73,1.34,0.34,0.516507337,279.2624729,40.0186905,12.591,2.671036599,0.045834301,3.026705317,1.794274409,J,H,1
WASP-166 b,WASP-166,1,5.44354,0.0641,7.062,32.10083,0.54,0,440,1270,F9 V,6050,1.22,1.19,0.19,0.25263101,144.8751047,-20.9824191,9.351,2.132034727,0.103705536,2.233736682,1.324191207,J,H,1
WASP-57 b,WASP-57,1,2.83891856,0.03769,11.769,204.68252,0.693,,,1338,,5600,0.93,0.89,-0.25,-0.117392145,223.8199788,-2.0576866,12.913,4.17033167,0.088899199,1.458882782,0.864846679,J,H,1
WASP-59 b,WASP-59,1,7.919585,0.0697,8.687,274.276,2.4,0.1,,670,K5 V,4650,0.61,0.72,-0.15,-0.806638668,349.6229547,24.889277,12.659,5.618999492,0.246958987,0.659776947,0.391125256,J,H,1
Wolf 503 b,Wolf 503,1,6.00127,0.05712,2.043,6.27,4.03,0.409,64.7,789,,4716,0.69,0.69,-0.47,-0.675116783,206.8461979,-6.1393369,10.27,1.751860769,0.313418027,0.767640854,0.45506853,S,H,1
Aldebaran b,Aldebaran,1,628.96,1.46,12.7,2056.3601,5.52,0.1,232.7595740444174,768.5233737237777,K5 III,4055,45.1,1.13,-0.27,2.672,68.980174,16.509201,0.872,12.724705030382284,0.205320161,36.20065855048891,21.46027063771498,J,H,0
Pollux b,Pollux,1,589.64,1.64,13.3,731,1.71,0.02,15.225044137317937,388.65998737693235,K0IIIvar,4892.63,8.9,2,0.103,1.612,116.328824,28.026127,1.12512,7.413663467883985,0.3476953011754309,10.683571752560225,6.333374871278217,J,W,0
Algieba A b,Algieba A,1,428.5,1.19,12.5,2790.43,7.85,0.144,227.60984102735793,764.2368083427957,K1 IIIb Fe-0.5,4330,31.88,1.23,-0.469,2.51,154.993208,19.841389,1.99509,14.941030754268596,0.19153503447430803,30.041144282650748,17.808822059774997,J,H,0
Hamal b,Hamal,1,380.8,1.2,13.4,572.07,1.31,0.25,52.01809662278449,528.4072971,K2III,4553,13.9,1.5,-0.16,1.934,31.793286,23.462421,2.00538,6.533895548964349,0.254558029,15.478058050435132,9.175615251455557,J,H,0
Kochab b,Kochab,1,522.3,1.4,12.7,1938.7,5.2,0.19,195.68391045107745,735.9002861,K4 III,4126,38.3,1.4,-0.27,2.73,222.676495,74.155548,2.0569,12.355304257973035,0.21417004994740182,38.70049065447359,22.942207034687936,J,H,0
Mirach b,Mirach,1,663.87,2.03,11.9,8981.83078,29.3,0.28,341.4920570368825,845.8149240150993,M0 III,3802,86.4,2.49,-0.03,3.224,17.432979,35.620499,2.06763,27.473181392010634,0.1210853495011213,68.34653017491182,40.516805313271085,J,H,0
Iota Draconis b,Iota Draconis,2,510.8544,1.453,12.4,3756.73177,10.8,0.701,24.444809455907745,437.4987900121924,K2 III,4504,11.79,1.54,0.03,1.722,231.2323227,58.9661403,3.29668,17.40581051,0.30392564646359543,12.125969489167083,7.188448978608031,J,H,0
Iota Draconis c,Iota Draconis,2,25000,19.4,12.2,4958.12315,15,0.455,0.1371243004745391,119.7316033915665,K2 III,4504,11.79,1.54,0.03,1.722,231.2323227,58.9661403,3.29668,20.159452792306787,0.2293555419226676,12.125969489167083,7.188448978608031,J,C,0
Nu Ophiuchi b,Nu Ophiuchi,2,529.93,1.765,12,7057.73298,22.4,0.126,24.747966511057175,438.84895856139536,K0 III,4887,12.24,2.61,0.1,1.895,269.7566013,-9.7741342,3.31216,24.251688910259425,0.24947592570908717,14.798458235113646,8.772738714229048,J,H,0
Nu Ophiuchi c,Nu Ophiuchi,2,3180.6,5.829,12,7838.32346,24.9,0.179,2.2690330852469187,241.48513335421293,K0 III,4887,12.24,2.61,0.1,1.895,269.7566013,-9.7741342,3.31216,25.557652898235133,0.3572852550249208,14.798458235113646,8.772738714229048,J,W,0
Delta Virginis b,Delta Virginis,1,466.63,1.33,12.2,5031.22368,15.2,0.36,394.9527062752881,877.1350500971179,M1 III,3657,65.8,1.4,-0.06,2.701,193.8988441,3.3972376,3.39515,20.307520370703987,0.14028981518124484,37.42971076,22.188870453245062,J,H,0
Tau Ceti e,Tau Ceti,2,162.87,0.538,1.81,3.93,3.64,0.18,1.707129491753303,224.90380778995285,G8.5V,5310,0.83,0.78,-0.52,-0.305,26.0093029,-15.9337987,3.49607,1.4735232330140045,0.7888061362382952,1.1754833206538828,0.6968434056570922,S,W,0
Tau Ceti f,Tau Ceti,2,636.13,1.334,1.81,3.93,3.64,0.16,0.2776638603174292,142.82690702503268,G8.5V,5310,0.83,0.78,-0.52,-0.305,26.0093029,-15.9337987,3.49607,1.4735232330140045,0.543915564,1.1754833206538828,0.6968434056570922,S,C,0
